argument,topic,example
"the blockade should not be ended because the people of israel have every right to determine what goods, service, and people enter the territory.",Blockade of the Gaza Strip should be ended,"blockade of the gaza strip should be ended because the conflicts need to be finished, a resolution should be found and people should be able to get back on track with life"
the church of scientology gets people in and gets them to tell them their darkest secrets for blackmail and the use of literal slaves.,We should ban the Church of Scientology,"the church of scientology is a cult that takes people's money, brainwashes them, and harrasses anyone who tries to leave and should be banned."
home schooled children have high test scores.,Homeschooling should be banned,homeschooling is best for children where the schools in the area are not conducive to learning
these parades should be banned because we don't have them for other cultures,We should cancel pride parades,pride parades should be allowed to continue as it allows people to celebrate diversity among human beings.
it would enable policeman to catch more criminals and keep the streets safe,Entrapment should be legalized,entrapment should be legalized because sometimes this tactic is the only way to apprehend repeat offenders.
"executive compensation rewards the rich, whilst the ordinary workers are paid a minimum wage. it simply serves to increase the divide between rich and poor.",We should limit executive compensation,executive compensation is abuse of unregulated capitalism and concentrates wealth into a very small number of people.
Telemarketing is a niusance and people suffer much because of it. It is our right to stop it.,We should ban telemarketing,telemarketing takes advantage of people who are not always capable of making reasoned choices and their selling cannot be properly regulated due tot he private nature of their business.
naturopathy is needed for those whose religions are against the use of drugs as medicine,We should ban naturopathy,Naturopathy competes with the tried and tested science of the medical establishment and allowing people to be lured in with false promises of healing is unfair and morally unjustifiable.
homeschooling provides an opportunity to tailer the curriculum to the particular childs learning style.  this may be particularly advantageous when individual learning needs require special consideration.,Homeschooling should be banned,homeschooling is best for children where the schools in the area are not conducive to learning
"people that have been discriminated against should be helped to escape from those situations and affirmative action helps them to do that, so it should continue.",We should end affirmative action,affirmative action corrects for generations of wrong-doing and should not be discarded.
the government only spend the necessary amount and any cuts will mean a cut in services.,We should adopt an austerity regime,austerity only leads to economic contraction that endangers the chance of reducing the debt.
we should abolish the olympic games as it is an elitist competition with participants often being accused of using performance enhancing drugs.,We should abolish the Olympic Games,we should abolish the olympic games as it is an overly huge expense to the country hosting.
public defenders have too many cases to properly represent defendants,The use of public defenders should be mandatory,having a system where public defenders are mandatory would make it fairer because all defendants would have the same level of defense
ban telemarketers so they stop calling at all times of day and bothering us,We should ban telemarketing,banning telemarketing puts an unfair limit on a business's ability to find customers.
flag burning is an act of treason against the values of the united states.,We should prohibit flag burning,flag burning is an expression of freedom of speech to which people have a right in a democratic country
safe spaces allow a forum for the oppressed to speak freely and find others that have suffered the same,We should abolish safe spaces,"safe spaces are vital to many, especially on campuses where the students that feel excluded or discriminated against have a safe haven to enable them to feel comfortable in continuing their education"
we should not do this because other countries like china already did and it caused an epidemic where there is a huge imbalance of males to females which disrupts the population,We should legalize sex selection,legalizing sex selection is a good option for people looking to have a specific sex of child.
The institution of marriage has deteriorated over the last century and has little value aside from legal benefits. It should be cast aside.,We should abandon marriage,we shouldn't abandon marriage because it is still sacred for many and shows an act of love
vocational education is just as important as college education and should be funded just as well.,We should subsidize vocational education,we need to support vocational education because it may be the only chance people that live in poverty can get through education and manage to make a good job from themselves.
Affirmative action keeps companies from rejecting job applicants based on their skin color.,We should end affirmative action,affirmative action helps to combat bias in hiring practices
"We should not ban missionary work because missionaries sometimes build homes and schools, reducing the burden on local governments.",We should ban missionary work,missionary work should be banned as it can be abused and vulnerable people can be taken advantage of
"rules and laws are not restrictive enough as the levels of most crimes are rising and, so, we need a crackdown to stop the rise and this needs government intervention",We should adopt libertarianism,"Libertarianism doesn't work. Government intervention and financing are necessary for so many facets of society - education, health, and safety, to name a few."
for it may encourage more of those on low income to apply to study at university.,We should subsidize student loans,student loans is a help for those who do not have resources
IQ tests measure only a few types of cognitive abilities and do not account for the vast array of intelligence types,Intelligence tests bring more harm than good,IQ tests can help diagnose learning disorders like ADHD and autism .
missionary work can provide assistance to people who need it.,We should ban missionary work,"missionary work can provide much needed resources to impoverished regions who would otherwise get no help, thus saving lives of vulnerable groups."
The use of public defenders should not be mandatory because the public defender system is already overburdened and could not adequately meet the increased demand.,The use of public defenders should be mandatory,having a system where public defenders are mandatory would make it fairer because all defendants would have the same level of defense
missionaries try to force their religion or ideas on people that are already happy the way they are.,We should ban missionary work,"Missionary work can sometimes do more harm than good - for example, if religious missionaries discourage the use of condoms in a place where HIV is the main cause of death."
religion can be an important part of a school identity.  sharing a faith can be used to build camaraderie between students.,We should prohibit school prayer,school prayer usually supports a specific religion. this discriminates against non-believers or members of different religions.
banning whaling would take away a tradition from some cultures they've had for hundreds of years.,We should ban whaling,Whaling can lead to over-fishing and the decimation of whale communities.
we cannot abolish intellectual property rights because artists and scientists need to have their ideas and innovations protected so that they can earn a living in their fields,We should abolish intellectual property rights,intellectual property rights should not be abolished as they provide security and protection to inventors to stop their hard work and financial investment being stolen and losing their just rewards
we should ban any kind of violence acts and targeted killing among them,We should ban targeted killing,targeted killing should be banned because it denies the victim  the right to a fair trial by jury.
school uniforms shouldn't be used anymore because they can be expensive for some parents,We should abandon the use of school uniform,school uniforms can be costly and difficult for some families to afford.
"Nuclear weapons already exist, and cannot fully be destroyed.",We should fight for the abolition of nuclear weapons,nuclear weapons are destructive and unnecessary
"we should ban the church of scientology because they trap and threaten the members, and scares them into leaving.",We should ban the Church of Scientology,we should ban the church of scientology as many ex-members report manipulation and bullying and it has been reported to be a cult which has seperated families.
flag burning is simply a form of protesting that isn't harming anyone directly.,We should prohibit flag burning,flag burning is an expression of freedom of speech to which people have a right in a democratic country
"one thinghs schoold should teach kids is the bneed to obey rules, therefore zero-tolerance is justified.",We should adopt a zero-tolerance policy in schools,a zero-tolerance policy for schools makes the most sense as it deters the behaviors we are wanting to avoid
pride parades sometimes bring out hate and crazy people.,We should cancel pride parades,"pride parades are often focal points for civil unrest and protest of extremist groups, and thousands of police hours are occupied by them."
"foster care provides children with a family, albeit usually for the short term.",Foster care brings more harm than good,foster care gets kids out of dangerous situations and into the homes of people who can better care for them.
"uniforms  are a great way of creating equality between pupils, since all students are wearing the same clothes. it enables standards of dress to be easily maintained.",We should abandon the use of school uniform,uniforms remove some types of peer pressure surrounding students' appearance.
"surrogacy can cause problems for the person carrying the baby.  she may not want to give it up court cases may ensue.  also, when the child gets older, it may want to be reunited with its birth mother.",Surrogacy should be banned,surrogacy creates a host of complicated issues around parental rights.
public defenders are waste of money and should be rigged off as pointless in every means.,The use of public defenders should be mandatory,public defenders should be mandatory because they can provide free legal representation to those who are accused
People should be able to ask for help in ending their own life if they are living with an incurable disease.,Assisted suicide should be a criminal offence,assisted suicides can end the pain of those who are suffering from terminal illnesses.
the goal of cosmetic surgery is to improve and transform appearance,We should ban cosmetic surgery for minors,"sometimes a cosmetic procedure is necessary in cases of disfigurement, and when this is addressed early, the chances of recovery and normalised existence are maximised."
we should ban targeted killing because murder is not okay.,We should ban targeted killing,targeted killing should be banned because it denies the victim  the right to a fair trial by jury.
Mandatory retirement affirms problematic stereotypes about the competency of older people which prevents them from being taken seriously when they should be.,We should end mandatory retirement,"Mandatory retirement is discriminatory on the basis of age, which is an immutable characteristic much like gender or race in that one has no control over it."
prohibiting flag burning threatens freedom of speech.,We should prohibit flag burning,we should not prohibit flag burning because freedom of speech is one of the defining rights of the american citizens.
