,idx,query,res
0,0,"I also would know that it's not a face of the pharoah because the text says that it's a ""huge rock formation"". ","It looked like an Egyptian pharoah, but turned out to be a regular, old mesa. It is still debated whether it was created by ancient Martian life, or whether is was just another regular landform on Mars. "
1,1,"Finally, Despite the chanlleges and dangers they are all striving to meet the challenge. ","Students have the tendency to not to things if told by another individual, but when the idea is introduced by oneself, the individual is more inclined to do it.  The Hunger Games is a novel that displays a similar effect; being based off of a numerous amount of decisions that could either end up in an individual's death, or survival, a certain scene in this book depicts the choosing of a weapon. The main character, Katniss, chooses a bow and arrow, being a weapon that the character has a great strength in and has a higher chance in succeeding with it. Having the ability to choose and having a personalized approach to the task makes one's task more likely to be completed with great excellence, especially if the individual personalizes the project to aid their strengths rather than their weaknesses. A teacher would not be able to identify a student's weaknesses, resulting in a weaker result than anticipated. "
2,2,"It does not let us the people choose. The Electoral Colledge baseecely sees that the citizens of our contrys opions do not matter. They are saying that the Electoral Colledges votes matter the most those are the only once we are worrying about. But thats not true our opion does matter, we are what make up this amazing cuntry not just the Electoral Colledge. ","Many argue that without the Electoral Collage equal power would be given to the people and that ""most people worry is the prosepct of a tie in the electoral vote""-source 2. "
3,3,"if we adopt the popular vote system, what would happen if only white and black people could vote or only white men. ","Although not one vote will decide an election if we had direct voting, many single votes can. "
4,4,In conclusion if we could possibly bulid something to survive venus we could find some amazing things like if it ever ahad water and find maybe remains of past forms of life. ,"Well, first of all, The atmospere of Venus has a THICK layer of carbon dioxide the covers 98% of the planet, in which makes Everything a much hoter place,but, to top it of with the atmosphere problem, the clouds in there have highly corrosive sulfuric acid. If we some how passes through the atmosphere, than we'll face ANOTHER problem with the ground. Since Venus is the second planet from our sun and with all those carbon dioxide in the atmosphere, the surface ground temperature is over 800 DEGREES FAHRENHEIT. In which with the surface and the atmosphere, it could basically melt many types of metal with no problem. Another Problem is that the atmosphereic preassure is 90x greater than our Earth, with that much preassure could easily crushed a submarine that is built to surrvive the deeper end of the ocean. From what we gather small information from our space craft, the geology of venus pretty much have erupting volcanoes, powerful earthquakes, and frequent lighting strikes. "
5,5,This technology could observe how our face is formed in the future.  ,"The people using this technology are doing so many things, ""The process begins when the computer constructs a 3-D computer model of the face;"" So they're not only using 3-D software but also, ""Using video imagery, the new emotion-recongnition software tracks these facial movements."" The people who are specializing in doing this kind of technology, are branching out in very large, and impactful ways. Many students could be interested in doing this, and sometimes if it's not in school and they don't hear of it. They can never find it. "
6,6,"The third and final reason for the abolishment of the EC is simple. The votes NEVER count, like ever. ","For many reasons, election methods must be changed to popular vote, and the Electoral College must be disgarded. It will only lead to a profound disaster, and it is also extremely biased and unfair. The United States must take action, one state at a time, to reverse the negative path it is on. This is the only way the U.S can finally reach its long term goal-- complete prosperity.    "
7,7,It doesn't even take that long to do some sort of service.  ,Do community service for at least a couple hours it will make you and the people you helped happy and you will also feel better about yourself as well.  
8,8,Auther did a very great job finding his resouces and fact about his story he told ,"As a consultant that helps other students with writing, I see many strange things from people with half finished essays. The one that grabs the trophy, however, was incredibly ridiculous. At the beggining of a students work, they talked about how Abraham Lincoln and George Washington had a conversation. Not only did it have nothing to do with their central theme of Lincoln being the best president, but I gaurentee you they did not have multiple people help review their work. We did get them the help they needed, and through multiple peoples advice, it was transformed into a pretty good persuasive essay. When searching for help, whether it's with editing a school paper, or understanding concepts that are confusing for you in a difficulty subject, it's always important to look for more than one opinion. If you were to only ask a singe individual, their response could be flawed for many, many reasons "
9,9,On the other hand. If you are at home you can eat and do whatever you want when you want. ,"They are in the comforts of their home and have the freedom to attain food or use the bathroom at any given time. Video conferences can be held once a week and may not even reveal a student's appearance, so students can wear whatever clothing they desire or feel most comfortable in. Students are not in the high stress school environment and can feel more relaxed. This may lead to an increase in productivity and focus on one's schoolwork. "
10,10,because if you are Seagoing Cowboy you only have to work a couple hours a day.  ,"First, in the passage it states that I had to feed and water the animals atleast two or three times a day. Second, if you are eighteen you could get drafted. That's another way to help. In the passage it stated that I could get drafted, so they told him to stay there and keep working with the Seagoing Cowboys. Third you also get to help work with the Seagpoing Cow boys. If you are a good worker and kind this would be a great job. If you like the Seagoing Cowboys you will like the fun. "
11,11,"""While looking in the mirror "" By looking in the mirror can't really explain or say what's are emotion are becuase mirror don't speak and it doens't tell your emotions. People use mirro just becuase they want to see what's on their face or if it's dirty or what, how they look before they go somewhere. Mirror just copying what were doing in front of the mirror like if you start talking ofcorse your twin face in the mirror also gonna start talking too,becuase mirror is just a piece of a glass that can't describe what's people's emotion. Mirror can copy what were doing but can't say what are emotion or feeling. ","With the constant evoultion of the way we learn, its not suprising that something like FACS was created. Emotions have been with everything living since the beginning of time. Before FACS, it was suprisingly difficult to read these emotions in people. Such a crucial part of our everyday lives could be easily hidden away by a fake smile or a theatre tear. But now that there is FACS helping out, looks are no longer decieving. "
12,12,"The electoral college is a process, not a place. The electoral college process consists of the selection of the electors. The electoral college consists of 538 electors. In the 23 Amendment of the constitution, the district of columbia is allocated 3 electors and treated  like a state for purposes of the electoral college. For this reason, in the following discussion, the word ""state"" also refers to the district of columbia. Next, each canidate running for president in your state has his or her own group of electors.  The electors are generally chosen by the candidate's political party,but state laws vary on how the electors are selected and what their responsibilities are.  The president election is held every four years on the Tuesday after the first Monday in November. Also, most states have a ""winner-take-all"" system that awards all electors to the winning presidential canidate . However, Maine and Nebraska each have a variation of ""proportion representation"".  Abolishing the electoral college! But don't worry they're not alone; according to a Gallup poll in 2000, taken shortly after Al Gore.  Thanks to the quirks of the electoral college, which won the popular vote but lost the presidency, over 60 percent of voterswould prefer a direct election to the kind we have now.  Under the electoral college system, voters vote not for the president, but for a slate of electors, who in turn elect the president.  You might not know this so if you dont here is something very interesting for you to know. Who are the electors? Well they can be snoyone not holding public office. Here's something eles you might know, Who picks the electors in the first place? well here's the answer it depends on the state. The single best argument against the electoral college is what we might call the disaster factor.  The American people should consider themselces lucky that the 2000 fiasco was the biggest election crisis in a century; the system allows for must more. consider that state legislatures are technically responsible for picking electors, and thats those electors could always defy the will of the people. Black in 1960.  Perhaps most worrying is the prospect of a tie in the electoral vote. In that case, the election would be thrown to the hose of representatives, where state deegations vote on the president. ","When the Constitution of the United States was written our founding fathers decided on an Electoral College as the way to ellect the president instead of a direct vote. The Electoral College is a process that makes a compromise between the popular vote of the citizens and the Congressional vote. When citizens vote for president they are actually voting for a member of the Electoral College that is going to select their president, rather than the citizens voting for the president themselves. The Electoral College is made of 538 electors, the number of electors from each state varies depending on the states Congressional delegation. Washington D.C. is counted as a state for this process and alloted only three electors. "
13,13,but I do know that it was not made by aliens. ,"In 1976 the face looked like a face. In 1998 it started to not look like a face at all. In 2001 it just looked like a rock. So i believe that it was not created by aliens but that it was just something the olanet had made itself. This has certainly got the attention of the people.  The ""Face on Mars"" is not a face. If you look at the pictures from 1976, and 1998, and 2001 and in the text it says that the photo from 2001 is the most recent photo that NASA has. It still looks nothing like a face so since the 2001 picture is the most recent it shows that it is just a natural landform. It is just a natural landform. On Mars there are natural landforms everywhere and the fade away. Here on earth natural landforms are created everyday. "
14,14,and if they want to decide if they want to have their cell phones on in class is not going to be better for the teachers because they cant help the students learn and what is going on in life and what do they have to do as their assignment. they want to be texting in class and be distracted. ,"For example , we need to forces on more important things such as school work and maybe after school activates. I think we shouldn't be able to have our phones because 50% of students that have cell phones fail there classes because while the teacher is explaining something important the student us either messing around or texting another student which is not only affecting he/she but others around them. "
15,15,What i can also personally add to this parrgraph is things are way more depenable and understanding and way more better and trustfull and when many people join their heads together. ,"Seeking multiple opinions and advice can be beneficial to someone because it can provide new ideas that previously have never been thought of, and help understand different perspectives on the topic. It's always important to ask for assistance and feedback when you need it. Because receiving that constructive criticism and working with it reassures the outcome is successful and applies to a larger audience. Overall, asking peers for their opinions can be an eye opener, and refresh one's mind in order to get their point across a variety of people. The more feedback one receives, the stronger the outcome becomes.  "
16,16,There's five reason to where the Electoral College should be retraining. ,There are many more other factors in which the Electorial College must be changed to meet the appropriate dilemas and needs of the voters and their intentions towards the campaign. 
17,17,"The chose on have online course can go both way ,it depend on the on problem if most student and teacher complain about wake up to early and not having enough time to get every ready. In my opinion it depend on the situation the school is having ,if it the only way to have to have student to do their work and get everything done then go for it. There is no good or bad option for this. It's all on the situation on hand. Both thing have there goods and there bad ,but it is up for these school departments to know if it will help the student or make it worse than it was already. ","By attending class online, students do not have to deal with the daily chores of waking up early, preparing for school, and in many cases rushing to leave in order to not be late. Being tardy for a class can be severely punished even if it was not directly the students fault, which could lower productivity and motivation. It is widely known that students complain about this dilemma already, and with online learning, it can be solved in a simple and cost effective way. "
18,18,So in the storu it talks about going to diffrenet places in our solar system so in the story it talks about how some plants can actually hold humans in it cuase it has the same things this planet has but not all of them. So they where talking about a planet in particular venus a planet right next to us we can have a spaceship go there. they talk about some of venus things like how hot it is the planet reaches 800 degrees. ,"The author also states that ""Venus was probably covered largely with oceans and could have supported various forms of life, just like Earth."". This shows the readers that Venus is worth studying because there may have been life on this planet. Therefore, NASA needs to send researchers to Venus to identify if there is life or not. The author gives another example by referencing Earth-like features to show that thesremay be some form of life or a way of nature, these references include Venus having mountains, valleys, and craters. This validates the authors point well. "
19,19,"technoloy floods our brain, meaning there is so many inventions it just brainwashes us. We can use photo I.D. now for getting on to our phone. There are mixed emotions when we do show our personality, the techonolgy recognizes it. So we can change everything so someone says, ""the facial expressions for each emotion are universal,"" observes Dr. Huang. The mona lisa drawing is suppose to bring a smile to everyones face.  So people are still wandering what the mona lisa represents, the mona lisa represents art and beauty. There is a song called mona lisa, and its kinda a love song, saying your my mona lisa baby. So i think the whole idea of this song is to show that the mona lisa is a thing of beauty it represnts more than just beauty.  What else does it represent, well does your expression in the mirror suggest an emotion? Do you feel mad or sad. if you felt sad and you were crying and you went to the mirror and looked in the mirror, what would you see in yourself because down deep inside if thing yuo incredibly hurt. Can your lab partner recgonize which emotion you are doing? yes there is a doctor for that. there are so many emotions you dint even know throughout the day. ","Nowadays, technology and science became one of important parts in human life, it makes life runs easier. With human's intelligent, technology is improved day by day. Many things are dicovered, or invented that we don't even know about their appearances. One of them is the Facial Action Coding System also known as FACS, which technology could identify human emotions was created by Dr. Paul Eckman. "
20,20,Let me tell you the things that would change of limiting car usage. ,Limiting the usage of cars with help keep our enviromnet/society accident free and see those familar faces which we saw as we grew up. 
21,21,"Because whats the point of all of our parents and alot of other adults of voting if we can't even get what we want but no it's all up to the electors and congress, ect. like for real what is the point in voting if it isn't a fair shot. ","What is the point of people voting if they are not really getting a say in who they are really voting for? The Electoral College has a bigger say then the thousands of of people who vote. How can a group of peoples say mean more then thousands of people in the United States. Also, the ""Winner-Take-All"" sytem does not help anymore then the Electoral college does. What is so special about the Electoral College that they get picked specially to make their vote count on who wins or loses the election? "
22,22,i agree ,I vote yes that we should keep the electoral college in. 
23,23,The consequences should be very big for being on a cell phone or let alone bringing a cell phone to school. Students should at least have a detention or even an in school suspension. Students need to know their boundaries and what happens when they cross them. Discipline is a great way to turn students off their cell phones ,Student should be allowed to keep there phones on their person as long as they are turned off at all times during a regular school day. this then creates the problem of students texting during school hours and class so I propose that students who are caught texting or using the cell phone during school our not in the case of an emergency should have there phones took away for a set amount of time. much like if a student does something wrong he/she is punished with a certain amount of time. 
24,24,like the one we have today. ,"A teacher who knows their students can better tailor the lessons to them based on their learning styles and needs. For example, a teacher could dedicate more time in class to review logarithmic functions with games or act out  Romeo and Juliet to help the students better understand the concepts. Activities such as these that are beneficial to students are not possible through distance learning, and could harm a student's level of understanding about a topic. Additionally, it is harder for students to get help when they do not understand new material or need clarification through distance learning. Traditionally, students can ask their teachers questions, visit their teachers during their office hours or study hall, or meet with a peer tutor. For distance learning, a student would have to video call or email their teacher, but it is much harder to explain or understand concepts without being able to meet in person. "
