,idx,query,res
0,0,"I also would know that it's not a face of the pharoah because the text says that it's a ""huge rock formation"". ","Is this new discovery actually a face or is it just another rock formation. The believers and the non-believers of the face on Mars are waiting anxiously to find out what it is. If you look at the pictures from 1976, and 1998, and 2001 and in the text it says that the photo from 2001 is the most recent photo that NASA has."
1,1,"Finally, Despite the chanlleges and dangers they are all striving to meet the challenge. ","The author of ""The Callenge of Exploring Venus"" did a fair job at arguing their claim, that Venus is a worthy pursuit despite the dangers it presents. While the author did accurately present the hazards and solutions for the dangerous parts of exploring Venus, they failed to create a strong thesis."
2,2,"It does not let us the people choose. The Electoral Colledge baseecely sees that the citizens of our contrys opions do not matter. They are saying that the Electoral Colledges votes matter the most those are the only once we are worrying about. But thats not true our opion does matter, we are what make up this amazing cuntry not just the Electoral Colledge. ",The Electoral Colledge baseecely sees that the citizens of our contrys opions do not matter. They are saying that the Election Colledges votes matter the most those are the only once we are worrying about.
3,3,"if we adopt the popular vote system, what would happen if only white and black people could vote or only white men. ",We should get rid of the electoral college all together. This system is not democratic and misrepresents voting citizens in more ways than one. If voters were able to directly vote for canidates then more states would actively engage in the campaign
4,4,In conclusion if we could possibly bulid something to survive venus we could find some amazing things like if it ever ahad water and find maybe remains of past forms of life. ,"The author supports the exploration of Venus, and is open to finding ways to explore this harsh planet. He believes that mankind has endured many other harsh endeavors such as the exploration, and the curosity of mankind will likely lead us to exploring the great hot planet of Venus"
5,5,This technology could observe how our face is formed in the future.  ,"This new technology could be innovative for the way classrooms work in the future. If students could be educated the way they would want to be taught, yet still get the knowledge they need to succeed, then the future generation could be unstoppable."
6,6,"The third and final reason for the abolishment of the EC is simple. The votes NEVER count, like ever. ","The Electoral College should be abolished. It has caused nothing but problems for us in the past years. From ties, to innacuracy of votes, to causing re-counts. The electoral college is not putting America in the right direction."
7,7,It doesn't even take that long to do some sort of service.  ,"community service should be a choice, not mandatory. Sometimes students serve the community with the little things they do every day, like RELATIVE_NAME's challenge says. Clubs and organisations are important to a student too and with community service around there would be no time"
8,8,Auther did a very great job finding his resouces and fact about his story he told ,"The author exceeded when giving factual information about the topic to help the reading get on their side of the arguement; do to them struggling to get across their position on if Venus exploration is worthwhile, some of the provided information they gave was not used to it's full potential when changing the reader's opinion"
9,9,On the other hand. If you are at home you can eat and do whatever you want when you want. ,What are the advantages of home schooling vs. public education in terms of student-centered learning and how can it be beneficial to a student's learning experience at home and in the classroom? Choose a school environment that is dedicated to learning
10,10,because if you are Seagoing Cowboy you only have to work a couple hours a day.  ,If you are a good worker and kind this would be a great job. If you like the Seagoing Cowboys you will like the fun.. you also get to help work with the Seagpoing Cow boys
11,11,"""While looking in the mirror "" By looking in the mirror can't really explain or say what's are emotion are becuase mirror don't speak and it doens't tell your emotions. People use mirro just becuase they want to see what's on their face or if it's dirty or what, how they look before they go somewhere. Mirror just copying what were doing in front of the mirror like if you start talking ofcorse your twin face in the mirror also gonna start talking too,becuase mirror is just a piece of a glass that can't describe what's people's emotion. Mirror can copy what were doing but can't say what are emotion or feeling. ",. It is very hard for anyone to tell someone they are sad. This is especally true when they barely know the person they are talking to. This can be the case for school councelors and the children they are meeting with. FACS may be able to help
12,12,"The electoral college is a process, not a place. The electoral college process consists of the selection of the electors. The electoral college consists of 538 electors. In the 23 Amendment of the constitution, the district of columbia is allocated 3 electors and treated  like a state for purposes of the electoral college. For this reason, in the following discussion, the word ""state"" also refers to the district of columbia. Next, each canidate running for president in your state has his or her own group of electors.  The electors are generally chosen by the candidate's political party,but state laws vary on how the electors are selected and what their responsibilities are.  The president election is held every four years on the Tuesday after the first Monday in November. Also, most states have a ""winner-take-all"" system that awards all electors to the winning presidential canidate . However, Maine and Nebraska each have a variation of ""proportion representation"".  Abolishing the electoral college! But don't worry they're not alone; according to a Gallup poll in 2000, taken shortly after Al Gore.  Thanks to the quirks of the electoral college, which won the popular vote but lost the presidency, over 60 percent of voterswould prefer a direct election to the kind we have now.  Under the electoral college system, voters vote not for the president, but for a slate of electors, who in turn elect the president.  You might not know this so if you dont here is something very interesting for you to know. Who are the electors? Well they can be snoyone not holding public office. Here's something eles you might know, Who picks the electors in the first place? well here's the answer it depends on the state. The single best argument against the electoral college is what we might call the disaster factor.  The American people should consider themselces lucky that the 2000 fiasco was the biggest election crisis in a century; the system allows for must more. consider that state legislatures are technically responsible for picking electors, and thats those electors could always defy the will of the people. Black in 1960.  Perhaps most worrying is the prospect of a tie in the electoral vote. In that case, the election would be thrown to the hose of representatives, where state deegations vote on the president. ","The Electoral College process consists of the selection of the electors, the meeting of the selectors where they vote for President and Vice President, and the counting of the electoral votes by Congress. This means that we do not vote directly vote for our new president."
13,13,but I do know that it was not made by aliens. ,"I believe the image of the Viking is just a landform and it wasn't created by aliens. This has certainly got the attention of the people. The ""Face on Mars"" is not a face. If you look at the pictures from 1976, and 1998, and 2001 and in the text it says that the photo from 2001 is the most recent photo that NASA has."
